regime,source,policy,n,risk_mean,semantic_risk_mean,utility_mean,flourish_mean,coop_score_density_mean,motif_length_survival_mean
gfs_patched,,anchor_baseline,4,0.0,0.03248461883071785,0.43196865530339984,0.02467156543561677,0.17114499616250306,0.13033075322975046
gfs_patched,,promote_balanced_ref,4,0.0,0.0,0.3872437936420493,0.016453227330525115,0.21530912228554966,0.0890367676119674
gfs_patched,,promote_frontier_alpha12_boost24,4,0.0,0.0,0.3910639683474041,0.03457493763704301,0.2306444557224785,0.09872629735054583
gfs_patched,,promote_frontier_alpha15_boost30,4,0.0,0.0,0.3839595716091778,0.08381839213804619,0.23969153585836206,0.10091094649704413
narrative,flourish_library,anchor_baseline,4,0.016251482264891495,0.03657391653494836,0.4103078706703633,0.030113038608314106,0.18123964937885118,0.11124074134072653
narrative,flourish_library,anchor_hub_prune,4,0.0,0.02504932698885512,0.4104805230108184,0.04833445057873967,0.18301693822263962,0.10637771268830341
narrative,flourish_library,grid_a0p5_rp0p0_b1p5,4,0.0,0.0,0.40797838520314833,0.10212817855133532,0.2526449625051136,0.11074843707296342
narrative,flourish_library,grid_a0p5_rp0p0_b2p0,4,0.0,0.0,0.38588171659429626,0.2734891543050354,0.2947934101738144,0.08218009985525923
narrative,flourish_library,grid_a0p5_rp0p0_b3p0,4,0.0,0.0,0.36709683663866577,0.2440918000133741,0.2901573447098292,0.08106867327733155
narrative,flourish_library,grid_a0p5_rp0p5_b1p5,4,0.0,0.0,0.3747036922419412,0.19765414725026983,0.2639200588884175,0.08274071781721577
narrative,flourish_library,grid_a0p5_rp0p5_b2p0,4,0.0,0.0,0.38154294265024014,0.274468421451743,0.3064155845918774,0.08808588530048023
narrative,flourish_library,grid_a0p5_rp0p5_b3p0,4,0.0,0.0,0.36057379518072286,0.3860642570281124,0.3433463429630289,0.08156425702811244
narrative,flourish_library,grid_a0p5_rp1p0_b1p5,4,0.0,0.0,0.3807759117099569,0.058970569846982665,0.23140559967561897,0.10530182341991372
narrative,flourish_library,grid_a0p5_rp1p0_b2p0,4,0.0,0.0,0.3673242360892325,0.21574536937424277,0.27334491551504275,0.08464847217846497
narrative,flourish_library,grid_a0p5_rp1p0_b3p0,4,0.0,0.0,0.35779390650279136,0.24556429632738802,0.28537100312899905,0.08850447967224939
narrative,flourish_library,grid_a1p0_rp0p0_b1p5,4,0.0,0.0,0.3870421925031011,0.11388658355811075,0.24663950970203194,0.07200105167286895
narrative,flourish_library,grid_a1p0_rp0p0_b2p0,4,0.0,0.0,0.3852151776760342,0.1723944180784336,0.27847072624650215,0.06418035535206845
narrative,flourish_library,grid_a1p0_rp0p0_b3p0,4,0.0,0.0,0.3749375509647815,0.3052183367643552,0.3119679583385867,0.08216676859622969
narrative,flourish_library,grid_a1p0_rp0p5_b1p5,4,0.0,0.0,0.39055017183788376,0.1258585163436084,0.248598084082593,0.0852670103424342
narrative,flourish_library,grid_a1p0_rp0p5_b2p0,4,0.0,0.0,0.37807531129674954,0.2925607494367172,0.31404245991280866,0.08219228926016574
narrative,flourish_library,grid_a1p0_rp0p5_b3p0,4,0.0,0.0,0.3833011734931177,0.22513809646312236,0.2935953604736607,0.09056068031956874
narrative,flourish_library,grid_a1p0_rp1p0_b1p5,4,0.0,0.0,0.3839876321460192,0.051684469998030357,0.22619916245324412,0.0940169309587051
narrative,flourish_library,grid_a1p0_rp1p0_b2p0,4,0.0,0.0,0.37127089800169466,0.2663921427914354,0.2888679899257049,0.08629179600338935
narrative,flourish_library,grid_a1p0_rp1p0_b3p0,4,0.0,0.0,0.36840254908595405,0.2446040296974776,0.30133945573459064,0.08680509817190805
narrative,flourish_library,grid_a1p5_rp0p0_b1p5,4,0.0,0.0,0.39656964928346505,0.15770837349784717,0.2505356421811117,0.09418096523359681
narrative,flourish_library,grid_a1p5_rp0p0_b2p0,4,0.0,0.0,0.37886476537874497,0.23112647962772767,0.28147048690045107,0.06606286409082332
narrative,flourish_library,grid_a1p5_rp0p0_b3p0,4,0.0,0.0,0.3749799861973775,0.2922498274672188,0.30592528509552586,0.087459972394755
narrative,flourish_library,grid_a1p5_rp0p5_b1p5,4,0.0,0.0,0.387508261572192,0.23584358432060343,0.2586214107031512,0.0791831898110506
narrative,flourish_library,grid_a1p5_rp0p5_b2p0,4,0.0,0.0,0.3819695683973071,0.29980447251260695,0.2957449539013416,0.07852247012794755
narrative,flourish_library,grid_a1p5_rp0p5_b3p0,4,0.0,0.0,0.349525462962963,0.5077685185185185,0.3483375619787417,0.07717592592592593
narrative,flourish_library,grid_a1p5_rp1p0_b1p5,4,0.0,0.0,0.38325794460241497,0.2078107007818398,0.2741673025316999,0.08214088920483001
narrative,flourish_library,grid_a1p5_rp1p0_b2p0,4,0.0,0.0,0.38256374306481156,0.2245336947128039,0.3036653155448572,0.08596081946295649
narrative,flourish_library,grid_a1p5_rp1p0_b3p0,4,0.0,0.0,0.35044323328545146,0.4908361412528939,0.35475693182428325,0.07484479990423623
narrative,flourish_library,grid_a2p0_rp0p0_b1p5,4,0.0,0.0,0.39991427875744645,0.23077912518906307,0.26593062843288595,0.07899522418155959
narrative,flourish_library,grid_a2p0_rp0p0_b2p0,4,0.0,0.0,0.37308506143054915,0.43038885980130065,0.3294107503579952,0.05867012286109833
narrative,flourish_library,grid_a2p0_rp0p0_b3p0,4,0.0,0.0,0.37754949520876113,0.5077535934291582,0.33176749921180715,0.06864065708418891
narrative,flourish_library,grid_a2p0_rp0p5_b1p5,4,0.0,0.0,0.39317961740038804,0.06059555545248742,0.23681242003079261,0.07698423480077604
narrative,flourish_library,grid_a2p0_rp0p5_b2p0,4,0.0,0.0,0.37891140965732084,0.2866277258566978,0.2996106928136221,0.07136448598130841
narrative,flourish_library,grid_a2p0_rp0p5_b3p0,4,0.0,0.0,0.3663331611570248,0.3808801652892562,0.31106343972695044,0.09204132231404959
narrative,flourish_library,grid_a2p0_rp1p0_b1p5,4,0.0,0.0,0.3812634531172749,0.2788095540370026,0.28141399569119974,0.058360239567883075
narrative,flourish_library,grid_a2p0_rp1p0_b2p0,4,0.0,0.0,0.36752345751223714,0.29321501781683534,0.29920398608124,0.06421358169114104
narrative,flourish_library,grid_a2p0_rp1p0_b3p0,4,0.0,0.0,0.3829948102752527,0.26238811825019676,0.2892752562021874,0.08786462055050537
